time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,roll_cf,pitch_cf,yaw_cf,roll_kf,pitch_kf,yaw_kf
10,0.1856,0.0694,9.7861,-0.3733,0.2319,0.5065,29.9622,-9.864,41.0111,1.3892,-0.5272,1.2016,0.8694,0.8979,0.8289
22,-0.0475,-0.0679,9.7689,-0.0433,-0.0552,0.3541,29.8544,-12.2023,40.7212,0.0781,-0.5624,1.0277,0.8772,-0.9814,-1.6157
96,0.0623,-0.0928,9.8314,0.0132,0.3783,0.6183,30.1759,-10.6274,40.4308,0.9604,-1.2196,2.4413,-0.0796,0.7401,-0.3936
106,-0.0083,0.1232,9.8663,-0.3104,0.7751,0.2927,28.7969,-10.7487,39.4215,0.2472,0.259,0.9961,1.1353,0.8994,0.3889
117,-0.0076,-0.0068,9.8087,0.5335,0.076,0.7445,29.4079,-12.3755,40.4201,0.6607,-0.1863,-0.1799,1.5888,1.2875,1.3531
128,-0.0534,0.0412,9.7702,-0.061,0.431,-0.6861,29.0958,-9.9423,39.9401,-0.6177,0.0269,-0.6246,-0.9428,0.5219,-0.6507
138,0.0069,-0.1337,9.7706,-0.4138,-0.1661,-0.7693,30.6253,-9.3568,39.3419,1.668,-0.7865,0.0527,-1.6772,-1.6366,-0.6224
150,0.0066,0.1249,9.8685,0.2276,0.5552,0.9182,27.9016,-11.0562,40.2088,-0.5733,0.2988,-0.4897,-0.1808,0.1707,-0.648
161,0.0278,0.0025,9.7858,-0.4329,-0.0733,1.0268,30.0417,-10.0447,39.4423,0.8912,-1.2922,-0.1028,-0.6501,-0.6165,-0.4711
172,-0.1651,0.2127,9.7915,0.2882,0.0256,-0.0577,29.8215,-8.5497,40.8923,0.7767,-2.2685,-1.7194,-2.0222,-1.8624,0.2033
187,-0.2241,0.0342,9.7881,-0.5906,0.302,-0.0266,28.9434,-9.4207,38.3589,0.2885,-1.5214,0.3332,-0.8208,-0.2362,-1.193
197,0.102,-0.1368,9.8372,-0.3358,0.3934,0.0244,28.3304,-8.498,39.1005,-0.2203,1.332,1.548,0.2462,-2.0749,-0.454
208,0.1702,-0.0776,9.8074,-0.5162,-0.9193,-0.8091,30.5114,-8.9506,39.2892,0.2775,0.7212,0.6669,-0.4537,0.4516,-1.5872
218,0.1067,0.0476,9.8434,0.169,0.428,-0.2083,30.0879,-8.1448,39.2434,0.9369,1.2831,-0.2438,-1.8752,1.0276,0.1464
230,-0.0443,0.1816,9.6972,0.2904,0.1108,0.003,28.3619,-10.4373,40.9854,0.8013,0.3651,-1.662,0.1458,-2.2726,-1.2839
241,-0.1192,0.0729,9.8199,-0.1562,-0.305,-0.3178,29.3994,-8.6738,40.1497,1.9738,-0.7758,0.1977,1.4502,0.7357,-1.6851
252,-0.0099,-0.1712,9.8125,-0.2925,-0.047,1.1258,29.485,-10.1196,40.7459,0.5822,1.313,0.8782,-0.7893,0.3175,-0.759
268,0.0043,0.1401,9.8508,-0.1255,-0.3343,0.0998,29.617,-9.6077,40.6565,-0.2746,-1.8873,0.6199,-0.0064,-0.6079,0.2705
279,0.1559,-0.0044,9.7559,-0.0385,0.234,0.1975,31.2918,-10.7037,40.571,0.5985,2.1019,-1.7084,0.5563,1.2303,-0.4819
