sample_idx,time_us,interval_ms
1,10001,10.001000
2,20075,10.074000
3,30004,9.929000
4,40098,10.094000
5,50000,9.902000
6,59884,9.884000
7,70007,10.123000
8,80152,10.145000
9,89979,9.827000
10,99900,9.921000
11,109849,9.949000
12,120066,10.217000
13,130156,10.090000
14,140093,9.937000
15,149875,9.782000
16,159704,9.829000
17,169818,10.114000
18,179954,10.136000
19,189856,9.902000
20,199697,9.841000
21,210149,10.452000
22,220312,10.163000
23,230075,9.763000
24,240119,10.044000
25,250008,9.889000
26,259903,9.895000
27,270300,10.397000
28,279943,9.643000
29,289823,9.880000
30,300057,10.234000
31,310029,9.972000
32,319851,9.822000
33,330035,10.184000
34,339896,9.861000
35,350145,10.249000
36,360249,10.104000
37,370125,9.876000
38,379942,9.817000
39,389954,10.012000
40,399858,9.904000
41,410008,10.150000
42,420098,10.090000
43,429894,9.796000
44,440032,10.138000
45,449890,9.858000
46,460137,10.247000
47,470192,10.055000
48,479930,9.738000
49,489803,9.873000
50,500258,10.455000
51,509956,9.698000
52,519921,9.965000
53,529991,10.070000
54,539932,9.941000
55,550129,10.197000
56,559751,9.622000
57,569921,10.170000
58,579748,9.827000
59,590175,10.427000
60,600231,10.056000
61,609774,9.543000
62,620154,10.380000
63,630202,10.048000
64,640050,9.848000
65,649980,9.930000
66,659973,9.993000
67,669890,9.917000
68,680054,10.164000
69,689941,9.887000
70,699775,9.834000
71,709953,10.178000
72,720015,10.062000
73,729755,9.740000
74,739830,10.075000
75,750037,10.207000
76,760037,10.000000
77,770083,10.046000
78,779917,9.834000
79,790008,10.091000
80,799984,9.976000
81,809997,10.013000
82,820155,10.158000
83,830253,10.098000
84,839806,9.553000
85,850196,10.390000
86,859979,9.783000
87,869920,9.941000
88,880032,10.112000
89,889987,9.955000
90,899881,9.894000
91,910114,10.233000
92,920071,9.957000
93,929772,9.701000
94,939970,10.198000
95,950038,10.068000
96,959844,9.806000
97,970012,10.168000
98,980127,10.115000
99,989951,9.824000
100,1000093,10.142000
101,1010104,10.011000
102,1020021,9.917000
103,1030003,9.982000
104,1040105,10.102000
105,1049694,9.589000
106,1059619,9.925000
107,1070013,10.394000
108,1079833,9.820000
109,1089954,10.121000
110,1100098,10.144000
111,1109918,9.820000
112,1119816,9.898000
113,1130291,10.475000
114,1139907,9.616000
115,1149957,10.050000
116,1159615,9.658000
117,1170100,10.485000
118,1179922,9.822000
119,1189992,10.070000
120,1200140,10.148000
121,1210104,9.964000
122,1219969,9.865000
123,1230327,10.358000
124,1240315,9.988000
125,1250046,9.731000
126,1259895,9.849000
127,1269891,9.996000
128,1279948,10.057000
129,1290112,10.164000
130,1300075,9.963000
131,1310125,10.050000
132,1319906,9.781000
133,1330194,10.288000
134,1340062,9.868000
135,1349879,9.817000
136,1359860,9.981000
137,1369755,9.895000
138,1380080,10.325000
139,1389834,9.754000
140,1399858,10.024000
141,1409885,10.027000
142,1419930,10.045000
143,1429879,9.949000
144,1440005,10.126000
145,1450137,10.132000
146,1459852,9.715000
147,1470194,10.342000
148,1479980,9.786000
149,1490026,10.046000
150,1500064,10.038000
151,1510169,10.105000
152,1520009,9.840000
153,1530258,10.249000
154,1540102,9.844000
155,1550131,10.029000
156,1560095,9.964000
157,1570170,10.075000
158,1580271,10.101000
159,1589942,9.671000
160,1600159,10.217000
161,1609887,9.728000
162,1620104,10.217000
163,1629981,9.877000
164,1639998,10.017000
165,1649891,9.893000
166,1659969,10.078000
167,1670092,10.123000
168,1679847,9.755000
169,1689996,10.149000
170,1700055,10.059000
171,1710218,10.163000
172,1719904,9.686000
173,1730169,10.265000
174,1739816,9.647000
175,1750058,10.242000
176,1760222,10.164000
177,1770064,9.842000
178,1780064,10.000000
179,1789901,9.837000
180,1799965,10.064000
181,1810104,10.139000
182,1819889,9.785000
183,1830129,10.240000
184,1840064,9.935000
185,1850017,9.953000
186,1860104,10.087000
187,1869776,9.672000
188,1879961,10.185000
189,1890150,10.189000
190,1900114,9.964000
191,1910337,10.223000
192,1919953,9.616000
193,1930157,10.204000
194,1939937,9.780000
195,1949757,9.820000
196,1959720,9.963000
197,1969864,10.144000
198,1979908,10.044000
199,1990132,10.224000
200,1999873,9.741000
201,2009688,9.815000
202,2019767,10.079000
203,2030186,10.419000
204,2040144,9.958000
205,2050034,9.890000
206,2059865,9.831000
207,2070212,10.347000
208,2080046,9.834000
209,2089977,9.931000
210,2099941,9.964000
211,2109657,9.716000
212,2120234,10.577000
213,2129860,9.626000
214,2139804,9.944000
215,2149598,9.794000
216,2159980,10.382000
217,2170031,10.051000
218,2180012,9.981000
219,2189828,9.816000
220,2200144,10.316000
221,2209851,9.707000
222,2220132,10.281000
223,2230001,9.869000
224,2240260,10.259000
225,2250053,9.793000
226,2259926,9.873000
227,2269995,10.069000
228,2280117,10.122000
229,2290028,9.911000
230,2300223,10.195000
231,2310150,9.927000
232,2319914,9.764000
233,2329870,9.956000
234,2340217,10.347000
235,2349977,9.760000
236,2359932,9.955000
237,2370089,10.157000
238,2380003,9.914000
239,2389933,9.930000
240,2400046,10.113000
241,2410181,10.135000
242,2420033,9.852000
243,2429873,9.840000
244,2439916,10.043000
245,2449997,10.081000
246,2460230,10.233000
247,2469940,9.710000
248,2480062,10.122000
249,2489960,9.898000
250,2500173,10.213000
