sample_idx,time_us,interval_ms
1,107672,10.000000
2,117668,9.996000
3,127668,10.000000
4,137668,10.000000
5,147672,10.004000
6,157664,9.992000
7,167664,10.000000
8,177664,10.000000
9,187668,10.004000
10,197668,10.000000
11,207668,10.000000
12,217664,9.996000
13,227680,10.016000
14,237676,9.996000
15,247668,9.992000
16,257664,9.996000
17,267668,10.004000
18,277672,10.004000
19,287664,9.992000
20,297664,10.000000
21,307668,10.004000
22,317676,10.008000
23,327664,9.988000
24,337664,10.000000
25,347664,10.000000
26,357680,10.016000
27,367676,9.996000
28,377664,9.988000
29,387668,10.004000
30,397676,10.008000
31,407676,10.000000
32,417668,9.992000
33,427668,10.000000
34,437664,9.996000
35,447672,10.008000
36,457664,9.992000
37,467664,10.000000
38,477668,10.004000
39,487672,10.004000
40,497676,10.004000
41,507668,9.992000
42,517668,10.000000
43,527676,10.008000
44,537676,10.000000
45,547664,9.988000
46,557664,10.000000
47,567672,10.008000
48,577676,10.004000
49,587664,9.988000
50,597664,10.000000
51,607664,10.000000
52,617668,10.004000
53,627668,10.000000
54,637668,10.000000
55,647668,10.000000
56,657668,10.000000
57,667672,10.004000
58,677668,9.996000
59,687664,9.996000
60,697676,10.012000
61,707672,9.996000
62,717664,9.992000
63,727664,10.000000
64,737668,10.004000
65,747672,10.004000
66,757664,9.992000
67,767668,10.004000
68,777668,10.000000
69,787672,10.004000
70,797664,9.992000
71,807664,10.000000
72,817664,10.000000
73,827668,10.004000
74,837672,10.004000
75,847668,9.996000
76,857668,10.000000
77,867680,10.012000
78,877676,9.996000
79,887668,9.992000
80,897668,10.000000
81,907672,10.004000
82,917672,10.000000
83,927664,9.992000
84,937668,10.004000
85,947664,9.996000
86,957676,10.012000
87,967664,9.988000
88,977664,10.000000
89,987664,10.000000
90,997672,10.008000
91,1007676,10.004000
92,1017664,9.988000
93,1027668,10.004000
94,1037676,10.008000
95,1047672,9.996000
96,1057668,9.996000
97,1067664,9.996000
98,1077664,10.000000
99,1087672,10.008000
100,1097664,9.992000
101,1107660,9.996000
102,1117664,10.004000
103,1127672,10.008000
104,1137676,10.004000
105,1147664,9.988000
106,1157664,10.000000
107,1167676,10.012000
108,1177676,10.000000
109,1187664,9.988000
110,1197664,10.000000
111,1207672,10.008000
112,1217676,10.004000
113,1227664,9.988000
114,1237664,10.000000
115,1247664,10.000000
116,1257668,10.004000
117,1267668,10.000000
118,1277664,9.996000
119,1287668,10.004000
120,1297672,10.004000
121,1307676,10.004000
122,1317668,9.992000
123,1327668,10.000000
124,1337680,10.012000
125,1347672,9.992000
126,1357664,9.992000
127,1367664,10.000000
128,1377668,10.004000
129,1387672,10.004000
130,1397668,9.996000
131,1407668,10.000000
132,1417668,10.000000
133,1427672,10.004000
134,1437664,9.992000
135,1447664,10.000000
136,1457664,10.000000
137,1467668,10.004000
138,1477672,10.004000
139,1487668,9.996000
140,1497664,9.996000
141,1507680,10.016000
142,1517676,9.996000
143,1527668,9.992000
144,1537664,9.996000
145,1547668,10.004000
146,1557668,10.000000
147,1567664,9.996000
148,1577664,10.000000
149,1587668,10.004000
150,1597676,10.008000
151,1607664,9.988000
152,1617664,10.000000
153,1627664,10.000000
154,1637672,10.008000
155,1647676,10.004000
156,1657664,9.988000
157,1667668,10.004000
158,1677676,10.008000
159,1687672,9.996000
160,1697668,9.996000
161,1707668,10.000000
162,1717664,9.996000
163,1727672,10.008000
164,1737664,9.992000
165,1747664,10.000000
166,1757668,10.004000
167,1767672,10.004000
168,1777676,10.004000
169,1787668,9.992000
170,1797668,10.000000
171,1807676,10.008000
172,1817676,10.000000
173,1827664,9.988000
174,1837660,9.996000
175,1847672,10.012000
176,1857676,10.004000
177,1867664,9.988000
178,1877664,10.000000
179,1887664,10.000000
180,1897668,10.004000
181,1907664,9.996000
182,1917664,10.000000
183,1927664,10.000000
184,1937672,10.008000
185,1947676,10.004000
186,1957664,9.988000
187,1967664,10.000000
188,1977676,10.012000
189,1987672,9.996000
190,1997664,9.992000
191,2007664,10.000000
192,2017668,10.004000
193,2027672,10.004000
194,2037664,9.992000
195,2047668,10.004000
196,2057668,10.000000
197,2067672,10.004000
198,2077664,9.992000
199,2087664,10.000000
200,2097664,10.000000
201,2107680,10.016000
202,2117672,9.992000
203,2127664,9.992000
204,2137664,10.000000
205,2147680,10.016000
206,2157676,9.996000
207,2167664,9.988000
208,2177664,10.000000
209,2187668,10.004000
210,2197668,10.000000
211,2207664,9.996000
212,2217668,10.004000
213,2227664,9.996000
214,2237676,10.012000
215,2247664,9.988000
216,2257664,10.000000
217,2267664,10.000000
218,2277672,10.008000
219,2287676,10.004000
220,2297664,9.988000
221,2307668,10.004000
222,2317676,10.008000
223,2327672,9.996000
224,2337668,9.996000
225,2347664,9.996000
226,2357664,10.000000
227,2367668,10.004000
228,2377664,9.996000
229,2387664,10.000000
230,2397668,10.004000
231,2407672,10.004000
232,2417676,10.004000
233,2427668,9.992000
234,2437664,9.996000
235,2447676,10.012000
236,2457676,10.000000
237,2467664,9.988000
238,2477668,10.004000
239,2487672,10.004000
240,2497676,10.004000
241,2507664,9.988000
242,2517664,10.000000
243,2527664,10.000000
244,2537668,10.004000
245,2547664,9.996000
246,2557664,10.000000
247,2567664,10.000000
248,2577672,10.008000
249,2587680,10.008000
250,2597664,9.984000
251,2607664,10.000000
252,2617676,10.012000
253,2627672,9.996000
254,2637664,9.992000
255,2647664,10.000000
256,2657668,10.004000
257,2667672,10.004000
258,2677664,9.992000
259,2687668,10.004000
260,2697668,10.000000
261,2707672,10.004000
262,2717664,9.992000
263,2727664,10.000000
264,2737664,10.000000
265,2747668,10.004000
266,2757672,10.004000
267,2767668,9.996000
268,2777664,9.996000
269,2787680,10.016000
270,2797676,9.996000
271,2807664,9.988000
272,2817664,10.000000
273,2827672,10.008000
274,2837672,10.000000
275,2847664,9.992000
276,2857664,10.000000
277,2867668,10.004000
278,2877676,10.008000
279,2887664,9.988000
280,2897664,10.000000
281,2907664,10.000000
282,2917680,10.016000
283,2927676,9.996000
284,2937664,9.988000
285,2947668,10.004000
286,2957676,10.008000
287,2967672,9.996000
288,2977668,9.996000
289,2987664,9.996000
290,2997664,10.000000
291,3007668,10.004000
292,3017664,9.996000
293,3027664,10.000000
294,3037660,9.996000
295,3047672,10.012000
296,3057676,10.004000
297,3067664,9.988000
298,3077668,10.004000
299,3087676,10.008000
300,3097676,10.000000
301,3107664,9.988000
302,3117664,10.000000
303,3127672,10.008000
304,3137676,10.004000
305,3147664,9.988000
306,3157664,10.000000
307,3167664,10.000000
308,3177668,10.004000
309,3187668,10.000000
310,3197664,9.996000
