t_ms,ax,ay,az,gx,gy,gz,mx,my,mz,roll_gyro,pitch_gyro,yaw_gyro,roll_cf,pitch_cf,yaw_cf,roll_ekf,pitch_ekf,yaw_ekf,roll_madgwick,pitch_madgwick,yaw_madgwick,roll_mahony,pitch_mahony,yaw_mahony
11,-0.029,-0.1617,9.7225,0.4802,0.6446,0.643,30.0648,-7.7739,39.4395,-0.52,-1.2207,-0.4943,-0.3684,-0.4545,-0.823,0.7473,0.0798,1.5666,1.9215,0.8157,0.4879,0.3595,-0.409,0.4519
21,0.0593,-0.0948,9.8369,1.0504,-1.0403,0.2101,29.1021,-10.1155,41.3088,0.6699,-0.7583,-0.7359,0.1985,-0.9126,-0.3286,-0.2345,-0.9429,-0.7237,0.0946,0.4938,0.715,-1.4846,-0.3543,1.5702
32,-0.0497,0.0833,9.6691,-0.0269,-0.1259,-0.2669,29.7167,-10.814,39.6346,-1.0594,0.1184,-1.0503,-0.7501,0.6436,-1.8326,0.1584,0.9159,-0.6567,0.4513,1.1293,-0.5546,0.8761,-1.3299,2.3032
45,-0.0588,0.2822,9.7619,-0.4928,-0.1602,0.1529,29.2378,-8.8115,39.3329,2.2168,-0.0939,-1.0071,-0.3774,2.5957,0.0659,-1.4023,-0.038,0.6925,-0.2285,-1.4668,-0.6751,0.1677,-1.1887,-1.4909
55,-0.037,0.0625,9.7522,0.46,-0.0413,-0.2937,29.5164,-10.9043,40.0518,-0.9339,0.8967,-0.9097,-0.3845,-0.2458,-0.6801,0.7056,-0.0007,-0.6789,0.789,0.234,-1.0083,-0.0991,-1.5187,0.0075
70,0.0325,0.0808,9.8481,-0.4427,-0.1031,0.261,31.1401,-11.2181,39.3964,-1.3141,0.3783,0.8563,-0.3466,2.4482,-0.0158,-0.1508,0.8099,-1.4045,-1.8856,-0.1055,-0.2842,0.2447,-1.0573,0.6566
84,0.0642,0.1533,9.7275,0.5244,-0.1025,-0.6102,29.1294,-9.465,40.7436,-0.0296,0.2592,-0.0945,0.4752,-2.1564,-2.1829,-1.4579,-1.6389,0.9297,0.5824,-0.2907,0.55,1.3063,-0.0927,0.5172
106,-0.1161,0.174,9.7397,0.4297,0.2529,-0.9434,30.8324,-9.5074,39.6303,-1.0127,0.5341,0.222,-1.0921,0.8972,0.3022,-0.7099,0.811,2.1438,-1.19,0.3971,0.0689,1.888,0.0371,-0.3416
155,0.021,0.0478,9.7943,0.0404,-0.2374,0.1207,30.1864,-10.002,40.7151,-0.5418,0.7763,-1.3962,-1.7537,2.9468,0.4121,-2.3192,-1.0563,0.4829,0.2671,1.9451,-1.9085,0.8286,1.254,-0.6287
174,-0.1516,0.1161,9.8359,-0.0397,0.0727,0.222,29.3175,-9.642,40.5281,0.592,0.1827,-0.9297,0.9302,0.0366,-1.1501,1.2481,1.1788,0.7718,0.4189,1.1107,-1.1642,0.682,1.2055,0.1099
