seq,time_us,ax,ay,az,gx,gy,gz,mx,my,mz,roll_gyro,pitch_gyro,yaw_gyro,roll_cf,pitch_cf,yaw_cf,roll_ekf,pitch_ekf,yaw_ekf,roll_madgwick,pitch_madgwick,yaw_madgwick,roll_mahony,pitch_mahony,yaw_mahony,drop_flag
1,12000,0.0182,-0.0237,9.8927,-0.2512,-0.1492,-0.0433,28.8654,-9.6489,41.8612,-0.8787,-0.5992,0.9902,-1.172,-0.5599,-1.4395,-0.2666,0.8091,-1.404,0.5393,1.1353,-2.0408,0.1507,2.184,-0.7781,0
2,23000,-0.2117,-0.153,9.8368,0.3387,-0.1573,-0.0242,28.6006,-9.8184,40.378,-0.6469,-0.3918,2.2934,0.1413,0.863,-0.0849,-0.6684,-0.5115,-0.6128,-0.5659,0.371,-1.6642,-0.4279,-0.384,-0.7491,0
3,34000,0.0419,0.2115,9.8571,0.8253,0.5691,-0.0691,32.5802,-11.3656,40.6922,0.7238,-0.167,-0.5189,-0.6544,-0.1678,-1.3633,-0.4725,-0.506,2.1115,0.0715,-0.0947,-1.9032,0.6575,1.2756,-0.06,0
4,44000,-0.0165,-0.0176,9.8474,-0.2489,-0.4079,-0.2065,29.4783,-9.4851,41.6198,-1.563,2.0368,1.7502,1.3827,-0.1511,-1.0416,-0.126,1.0243,-1.4829,-0.203,-0.3339,-0.4775,-0.7673,1.1418,-0.4278,0
5,60000,-0.0013,-0.1382,9.8657,0.36,-0.4825,0.1061,29.3574,-10.6113,39.5636,0.6599,1.5013,-0.9664,2.0287,1.0133,0.9512,0.3232,-0.9846,-0.0539,-0.8319,1.0439,-0.7329,-0.4992,0.6048,-0.8876,0
6,70000,0.2643,0.0701,9.7608,0.6831,-0.2768,0.061,29.0713,-9.2555,40.7711,0.6658,1.6486,1.2136,-0.9021,0.141,0.0446,-1.2088,0.1065,0.2897,1.7139,0.806,0.9952,-0.2508,-1.9976,0.4264,0
7,81000,-0.0939,-0.2231,9.864,0.1049,-0.3949,-0.4556,30.4821,-9.3096,38.4183,2.6841,0.0309,0.0103,-0.4967,0.8218,0.9259,1.0748,0.4031,0.9844,0.5772,-1.2699,-0.8136,-0.247,-1.0682,0.5203,0
8,91000,0.0831,0.121,9.7198,-0.2288,-1.2208,-0.1807,28.2125,-10.4845,39.6145,1.2058,0.2738,-0.3892,-0.3479,0.3837,-1.2308,-0.3562,1.9285,-0.0526,-1.7088,1.6974,-0.4364,-1.9458,1.5241,-0.3309,0
9,102000,-0.0733,0.0135,9.7966,0.0115,0.0452,0.0977,30.003,-9.6314,39.2531,1.7299,-2.4425,1.4739,1.1819,0.0872,-0.8534,1.4326,0.7245,-1.7606,-0.0399,0.7012,-0.6128,-0.1074,1.3187,-1.4019,0
10,112000,-0.2075,0.064,9.8089,-0.3203,0.0399,-0.476,28.4312,-10.762,38.8807,-0.2038,0.7725,0.5503,-0.5001,-0.0696,-0.6014,0.1308,0.3264,0.9759,-0.5326,-0.4747,0.3576,0.1385,0.0827,-0.1198,0
11,122000,0.0007,0.201,9.7612,-0.7996,0.4064,-0.6441,31.145,-8.9626,38.8718,0.7608,-0.2877,1.3996,0.4874,0.2318,-0.2065,1.6825,1.2354,-0.4988,-0.1357,-2.5799,1.3538,0.3659,0.9898,1.2199,0
12,133000,0.2184,0.0521,9.7971,-0.2465,-0.0644,-0.2257,31.1792,-9.7565,42.2771,1.752,-0.2074,0.1657,-0.1667,0.1081,-0.197,-0.7215,-0.3333,-0.6962,0.6594,0.2252,-1.5797,2.1495,-0.7494,1.3252,0
13,144000,-0.092,0.16,9.8653,-0.0053,0.1107,0.2839,31.4459,-10.2576,40.8269,-0.0267,-0.34,1.4096,0.414,0.8967,0.6115,-1.0325,1.6411,-0.9082,0.1874,1.6249,2.6039,0.9627,-1.3133,1.5062,0
14,154000,-0.1434,-0.1486,9.7821,0.0315,-1.002,-0.0719,30.408,-10.4784,38.3975,-0.4817,0.4798,0.4875,0.0406,-0.419,0.1876,-0.5339,0.9977,-0.4816,-0.684,0.7081,-2.5622,1.0782,-0.5754,-0.812,0
15,165000,0.043,0.0664,9.7409,0.0096,-0.7785,-0.5207,29.8531,-10.1261,39.9928,-0.6277,-0.603,0.2314,-0.3593,-0.4209,-0.3619,0.0759,-1.3866,0.3115,1.2841,-1.2686,2.4876,-0.6668,-0.4618,0.3532,0
16,177000,-0.0187,-0.1284,9.7809,-0.1303,0.353,0.2219,30.8016,-10.7284,39.9472,1.167,0.2131,2.1336,-0.7965,0.4083,0.0809,-0.0028,-1.2332,-0.9354,-1.6765,-1.1563,0.3371,0.5198,1.0304,0.9191,0
17,188000,-0.2104,-0.0368,9.8407,0.3282,-0.0983,-0.0928,31.9692,-11.1548,39.1259,0.4097,-0.8349,1.2195,-0.7365,-1.7926,-1.5642,2.1414,-0.2528,0.2957,-1.3491,-1.098,-0.3629,-1.5372,-0.2218,1.0124,0
18,198000,-0.0444,0.0264,9.8005,0.1762,-0.6171,-0.0565,29.2404,-10.0087,40.067,-0.4582,-0.1913,-0.3015,-0.2751,1.4902,0.059,0.5455,-2.2081,-1.8398,1.427,-0.4563,-0.012,0.5748,-0.3613,0.6676,0
19,209000,0.0446,0.101,9.8124,-0.2162,-0.7013,0.3615,30.7554,-9.077,39.1564,0.323,-0.8633,-0.7672,-0.1502,0.7798,-0.0644,1.2205,1.3621,0.2387,0.9633,-0.8625,1.4673,1.748,-0.3587,-0.1741,0
20,220000,-0.0914,-0.0791,9.8228,0.2705,0.5989,-0.3079,31.003,-9.864,38.0579,-0.6287,0.382,0.9289,-2.1278,-0.3828,0.1083,0.2515,0.7931,0.9672,-0.9401,1.2141,0.5,-1.5793,0.6227,0.8533,0
21,233000,0.0995,-0.0797,9.749,0.6423,0.4421,-0.0734,30.8472,-10.3705,39.7164,-1.0593,-1.0873,-0.089,1.0378,0.0487,-0.5647,-0.7091,-0.2514,0.8552,-0.0822,-0.1429,-0.6257,1.9629,1.7892,0.542,0
22,244000,-0.0317,-0.0829,9.7994,0.1804,0.9282,-0.4954,31.4869,-9.0692,40.7687,0.4803,-1.3758,-0.1775,0.8841,0.0021,-0.3023,1.031,0.7868,-0.3616,-1.4609,-0.9369,0.2664,0.7935,-0.665,-2.285,0
