t,roll_deg,pitch_deg,yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,geo_err_deg,bgx,bgy,bgz
0.0,23.835585980471407,-10.090589573481486,24.038973645237185,13.8355859804714,-10.090589573481486,24.038973645237185,30.41217142556221,0.0017426542014524927,-0.0017401451039424278,0.0008680585052030357
0.01,27.85913275331204,-12.938849750934901,30.131295486148847,17.859132753312046,-12.938849750934901,29.93129568922676,38.60791442679412,-0.007407620856355047,0.005632988053264937,0.0024440356506967176
0.02,31.517542193072302,-16.414146811848838,36.435259891075816,21.517542193072302,-16.414146811848852,36.03526029723162,47.179371772493944,-0.02668944484329467,0.02022783693739367,0.0044756133077422915
0.03,34.946943500975294,-19.978253700301632,42.03401935604168,24.946943500975298,-19.97825370030162,41.434019965275404,55.20991434574154,-0.06179975872124641,0.04255751384155171,0.009490949290981602
0.04,38.0829675507562,-23.8162742888783,47.45431389230188,28.08296755075621,-23.8162742888783,46.654314704613526,63.178239103888224,-0.10984700871542497,0.0721133210720097,0.014056630958888615
0.05,40.911130975885406,-27.81028313240626,52.58017710217577,30.911130975885396,-27.810283132406262,51.580178117565296,70.91648517135079,-0.16969491553071464,0.1087659934237058,0.016760404300741362
0.06,43.45340232001311,-31.871305324471432,57.43008620184912,33.45340232001311,-31.871305324471432,56.230087420316586,78.39244712667363,-0.24022370547843952,0.15027304311346304,0.016489507147703565
0.07,45.78461650618862,-35.89653260350999,61.966246761522946,35.784616506188634,-35.89653260350998,60.566248183068325,85.54675495440036,-0.3225733296161708,0.19494600737579654,0.014346540867856706
0.08,47.756783372665154,-39.932737165004816,66.38293325435633,37.756783372665154,-39.9327371650048,64.7829348789796,92.45873668652983,-0.4062760670023319,0.23895824575776164,0.0025405810338696433
0.09,49.51958428378578,-43.85309529088889,70.47357573003231,39.519584283785775,-43.853095290888895,68.6735775577335,98.96311961332023,-0.49470442362234196,0.2867444516563179,-0.014663690823806079
0.1,51.00687812088952,-47.616362984890976,74.41302026319747,41.00687812088952,-47.616362984890976,72.41302229397655,105.11833156166243,-0.5847290776556838,0.33000529875641976,-0.038617298298099414
0.11,52.26295753966891,-51.22691160243026,78.17547237131097,42.26295753966892,-51.226911602430256,75.97547460516797,110.92026071860504,-0.674833311546368,0.3721127696054136,-0.06940280581805836
0.12,53.20537848043307,-54.648604436050036,81.85350219824922,43.20537848043307,-54.648604436050036,79.4535046351841,116.35621134390114,-0.7612725543032706,0.4088080827625132,-0.1079167178566748
0.13,53.81502225672642,-57.890099079477224,85.48619949635972,43.815022256726415,-57.890099079477224,82.88620213637249,121.43873780947271,-0.8423432155081136,0.4412274694686314,-0.1542276656936864
0.14,54.149751005452295,-60.92332526420572,89.08246345296668,44.149751005452295,-60.92332526420572,86.28246629605738,126.1831847463591,-0.9208866910634645,0.46960105533923335,-0.2043003558628069
0.15,54.01929842358393,-63.76943621127156,92.82614956891936,44.01929842358394,-63.76943621127156,89.82615261508799,130.6163697776285,-0.9920813193281692,0.4911346111865097,-0.26106407630693734
0.16,53.43295384656391,-66.45594784009657,96.69340358226091,43.432953846563905,-66.45594784009657,93.49340683150744,134.73329352944214,-1.0549072100123396,0.510631472120787,-0.32390610343466864
0.17,52.262923447420505,-68.90190497340704,100.95955797203817,42.262923447420505,-68.90190497340704,97.55956142436264,138.60404338486202,-1.115512314203956,0.5205804077183442,-0.38672439398750835
0.18,50.531012693091874,-71.17273333793618,105.49386401283793,40.531012693091874,-71.17273333793618,101.8938676682403,142.17432623288616,-1.1683381589275583,0.5297846669386118,-0.45195002361359193
0.19,47.98328374508498,-73.24985882635086,110.64624880042872,37.98328374508499,-73.24985882635086,106.84625265890901,145.52852055278612,-1.2160901622094,0.5340248673277939,-0.518173367748007
0.2,44.81227409807372,-75.11413263159446,116.25545584559083,34.81227409807371,-75.11413263159446,112.25545990714897,148.64722711510476,-1.261556251275978,0.5377365953981965,-0.5801869360176902
0.21,40.49685199492572,-76.79790175799639,122.75261741848371,30.496851994925724,-76.79790175799639,118.5526216831198,151.53400664164806,-1.2979333896164593,0.5394830638396592,-0.6442822206650822
0.22,34.988491803372064,-78.2503403680342,130.28353198396624,24.988491803372067,-78.2503403680342,125.88353645168023,154.233628311659,-1.3300751088440455,0.5389685172118971,-0.7059057892871011
0.23,28.25191905280063,-79.4419243274871,138.9427833585425,18.251919052800634,-79.4419243274871,134.3427880293344,156.7830296122309,-1.3603728645516637,0.53661118395723,-0.7631004573441668
0.24,20.160061850287665,-80.32904765070484,148.81966528874207,10.160061850287672,-80.32904765070484,144.0196701626119,159.16981802648326,-1.3864008136748476,0.5312272196836267,-0.8172058961720851
0.25,11.022293308118934,-80.88940486208273,159.62017089011422,1.0222933081189276,-80.88940486208273,154.62017596706195,161.40893711067682,-1.4086380414813904,0.5236459501953644,-0.8679243322104879
0.26,1.5018638823559756,-81.15434057109626,170.7081160284252,-8.498136117644025,-81.15434057109626,165.50812130845082,163.5170593659301,-1.4282537760534364,0.5164519962773833,-0.9142256633369119
0.27,-7.7558089533807255,-81.14432377853295,-178.59473265992236,-17.75580895338071,-81.14432377853295,176.00527282318117,165.46837229800795,-1.443690970585726,0.5094407846411689,-0.9560473304930157
0.28,-16.395236718270365,-80.9002701900413,-168.62400825798858,-26.395236718270368,-80.9002701900413,-174.22400257180712,167.29920727886852,-1.4554587961347918,0.5028817559682256,-0.9946495567229525
0.29,-23.928721874249387,-80.427866335119,-159.8398319825201,-33.928721874249376,-80.427866335119,-165.63982609326075,169.02671777770593,-1.464650138901156,0.4942873430025363,-1.0296250645644718
0.3,-30.19184954826284,-79.77953024914804,-152.4227668223055,-40.191849548262844,-79.77953024914804,-158.42276072996822,170.6417394518821,-1.4705573120289313,0.48355963868780344,-1.061226250257742
0.31,-35.41064628264402,-79.08334778114985,-146.12636445674303,-45.410646282644024,-79.08334778114985,-152.32635816132787,172.14775691095028,-1.4740656167383779,0.475022334840455,-1.0882151538134996
0.32,-39.60209022902282,-78.31045346623772,-140.90719853537684,-49.60209022902283,-78.31045346623772,-147.30719203688375,173.5746747583798,-1.4760988846669079,0.4651905697416183,-1.1115171357719666
0.33,-42.96473360012575,-77.50472200589147,-136.58814384696268,-52.96473360012576,-77.50472200589147,-143.1881371453917,174.9050136356014,-1.4758725658926528,0.454807254200312,-1.13112545912166
0.34,-45.75566141382628,-76.6863070122005,-132.9073924678356,-55.75566141382628,-76.6863070122005,-139.7073855631867,176.15493090526914,-1.473486624270043,0.44478801677601676,-1.1479032520357564
0.35000000000000003,-48.092838970735144,-75.88336834559726,-129.76770105817366,-58.09283897073514,-75.88336834559726,-136.76769395044687,177.30140863871017,-1.468209518748123,0.43545923126829883,-1.1613657741642642
0.36,-50.035390400626625,-75.10928505735579,-127.03166599760416,-60.03539040062661,-75.10928505735579,-134.23165868679945,178.39711220069043,-1.4629729448023403,0.4271032457326412,-1.1712587020660494
0.37,-51.65069756510178,-74.35078124336405,-124.65948166271635,-61.65069756510179,-74.35078124336405,-132.05947414883371,179.43228859461306,-1.4567405926051313,0.41885439262622043,-1.1784718374330743
0.38,-52.94399356341855,-73.59018484162004,-122.71387609218426,-62.94399356341856,-73.59018484162004,-130.31386837522373,179.635778669368,-1.4472474601185363,0.4091546416321348,-1.1835768893282999
0.39,-54.06016151345006,-72.87872452341348,-120.96703227306128,-64.06016151345005,-72.87872452341348,-128.76702435302283,178.7612196070876,-1.4373332691372378,0.40072530919014454,-1.1856731145133153
0.4,-54.94788994582613,-72.1834360421038,-119.47574045207911,-64.94788994582613,-72.1834360421038,-127.47573232896276,177.93631750994726,-1.4269467292159403,0.39176764337452363,-1.1857088847218913
0.41000000000000003,-55.777969355982506,-71.53964349634585,-118.08230758379622,-65.7779693559825,-71.53964349634585,-126.28229925760196,177.17458998255367,-1.4154232301612861,0.38443396888369197,-1.183388779648827
0.42,-56.40829297667101,-70.91772963252578,-116.93547968672819,-66.408292976671,-70.91772963252578,-125.33547115745603,176.48045783752477,-1.402859756763381,0.37620725248896036,-1.179004134826375
0.43,-57.01179810922536,-70.35507533627536,-115.81694495650966,-67.01179810922535,-70.35507533627536,-124.41693622415958,175.82415696901444,-1.3904668553461277,0.36984141295861617,-1.1724082976587826
0.44,-57.543748962252046,-69.79255116740981,-114.86054438800748,-67.54374896225204,-69.79255116740981,-123.66053545257952,175.24178197547894,-1.3755775351498256,0.36280367464182023,-1.1652250300661169
0.45,-57.99243850821448,-69.2464793958914,-114.03639225918747,-67.99243850821446,-69.2464793958914,-123.03638312068158,174.71407848362617,-1.3596054891841585,0.35551057506393696,-1.1569724526882648
0.46,-58.3644376729094,-68.72928698624311,-113.29798858971542,-68.36443767290939,-68.72928698624311,-122.49797924813163,174.21860682461224,-1.3438602351104572,0.34848630838738265,-1.1474677138941398
0.47000000000000003,-58.72524842041872,-68.24350985481068,-112.59537035888825,-68.72524842041871,-68.24350985481068,-121.99536081422654,173.761331898882,-1.327712727133609,0.34227803679941143,-1.1369365569391392
0.48,-59.03744823015344,-67.78527364346604,-111.9636826114293,-69.03744823015343,-67.78527364346604,-121.56367286368969,173.34289120282753,-1.3113536793379177,0.33630191786993546,-1.1253856878551158
0.49,-59.342004673081114,-67.35719606958288,-111.33956612947487,-69.3420046730811,-67.35719606958288,-121.13955617865734,172.94345549065727,-1.29537984745489,0.33119575933415346,-1.113097233831839
0.5,-59.600353633362396,-66.94598054815056,-110.80732117642964,-69.60035363336239,-66.94598054815056,-120.8073110225342,172.59386854496563,-1.27857339122212,0.3258442118078623,-1.1001304483688028
0.51,-59.775549770322016,-66.54785882203052,-110.38321559820875,-69.775549770322,-66.54785882203052,-120.5832052412354,172.28094814730667,-1.261628016623783,0.31990895988742973,-1.086541292063202
0.52,-59.949871371997226,-66.1716984208967,-110.00382127670471,-69.94987137199722,-66.1716984208967,-120.40381071665347,172.01465816864655,-1.2438413206230514,0.31425774071590296,-1.0724102759823337
0.53,-60.07468114569816,-65.83267022760589,-109.63363430867359,-70.07468114569815,-65.83267022760589,-120.23362354554445,171.74755543902415,-1.2277140998641682,0.3092301327152405,-1.0574759956585196
0.54,-60.222505701803705,-65.49848491233922,-109.29715994395015,-70.2225057018037,-65.49848491233922,-120.09714897774307,171.52304303216545,-1.210378208081315,0.3043278201142062,-1.042623334146429
0.55,-60.32995663695393,-65.16608988703967,-109.04853761864963,-70.32995663695392,-65.16608988703967,-120.04852644936466,171.34027893940257,-1.1923002986917552,0.2988364494190194,-1.0276692096970301
0.56,-60.478750467375015,-64.87670920383843,-108.73695046964096,-70.47875046737501,-64.87670920383842,-119.93693909727808,171.16327211079158,-1.1751255350968826,0.29483303787138243,-1.012187898659661
0.5700000000000001,-60.63998530164888,-64.60099531415115,-108.4346504938757,-70.63998530164886,-64.60099531415116,-119.8346389184349,171.00953278481813,-1.1577736483630452,0.29117122728930045,-0.9966954658034348
0.58,-60.684025027137565,-64.31742489056397,-108.26829714273809,-70.68402502713755,-64.31742489056397,-119.8682853642194,170.8799269377363,-1.1406967243364994,0.28612417139451124,-0.98120520673358
0.59,-60.82993399537662,-64.05294099627538,-108.03938983261031,-70.8299339953766,-64.05294099627538,-119.8393778510137,170.7787496103357,-1.1227787087748735,0.2823276580221618,-0.9658668186361736
0.6,-60.97124481865192,-63.8164263633351,-107.78928371116254,-70.97124481865191,-63.81642636333508,-119.78927152648802,170.67649897657668,-1.1059610162573086,0.2792231417634716,-0.9503327072622332
0.61,-61.016668729566256,-63.57609931942211,-107.63713433829437,-71.01666872956625,-63.57609931942213,-119.83712195054194,170.5859682159273,-1.0897854311269646,0.27513264442000973,-0.9349017944332325
0.62,-61.08106138437196,-63.346999192584924,-107.49482822175564,-71.08106138437195,-63.346999192584924,-119.89481563092531,170.521826477579,-1.07324273354999,0.27130599113907955,-0.9195048760729697
0.63,-61.19047999176197,-63.15162209376774,-107.29141355284004,-71.19047999176196,-63.15162209376773,-119.89140075893181,170.46109220210272,-1.057372172658159,0.2686221737880132,-0.9039757001319894
0.64,-61.2297095260739,-62.954191578635395,-107.16460361826314,-71.22970952607389,-62.954191578635395,-119.96459062127698,170.4133403277327,-1.0419299573752399,0.26522930926411825,-0.8886075962373233
0.65,-61.31984336189326,-62.749703752566006,-107.03704799143074,-71.31984336189325,-62.74970375256599,-120.03703479136668,170.39188912793966,-1.0255777254379277,0.2620070944589583,-0.8737760451382873
0.66,-61.42741353532817,-62.585911911100055,-106.86055681683,-71.42741353532816,-62.585911911100055,-120.06054341368802,170.37037999544665,-1.0102942380982691,0.25979221059275076,-0.8585860022964256
0.67,-61.54494192897876,-62.41333593371155,-106.73138717297421,-71.54494192897874,-62.41333593371154,-120.13137356675433,170.38495985996383,-0.9940608539834223,0.25718920477441537,-0.843742438396671
0.68,-61.60394356254042,-62.24677317720987,-106.64110345185414,-71.60394356254041,-62.24677317720985,-120.24108964255632,170.39665198391387,-0.9788322942688612,0.25429017910720647,-0.8290340586474023
0.6900000000000001,-61.64999866190555,-62.08686443562444,-106.57206393103522,-71.64999866190554,-62.08686443562444,-120.37204991865951,170.42069849709725,-0.9638129170489824,0.251357901662748,-0.8144450000156412
0.7000000000000001,-61.66888999490071,-61.901426181887835,-106.56082781771198,-71.6688899949007,-61.901426181887835,-120.56081360225838,170.45528880319037,-0.9486082157512477,0.24770870826270697,-0.8005832962549284
0.71,-61.71221342685101,-61.74006825657564,-106.50405917585455,-71.712213426851,-61.74006825657564,-120.70404475732303,170.48602016280051,-0.9341467867230773,0.24483083676829615,-0.7867676029199054
0.72,-61.75576507558196,-61.58757993089111,-106.44432016895341,-71.75576507558195,-61.58757993089111,-120.84430554734398,170.5203635323545,-0.9201070961152956,0.24214556268843676,-0.7731434103482797
0.73,-61.83161780069658,-61.44172800845405,-106.37271542786412,-71.83161780069656,-61.44172800845405,-120.97270060317678,170.56972937125386,-0.9058782283472336,0.23975449892061976,-0.7597500906590736
0.74,-61.856173393465795,-61.28760350251781,-106.35824655803161,-71.85617339346578,-61.28760350251781,-121.15823153026638,170.62563271064326,-0.8920150875500098,0.23679184159336467,-0.7466505820778342
0.75,-61.86281885869621,-61.15078574302068,-106.34047922977312,-71.8628188586962,-61.15078574302066,-121.34046399892998,170.6793400973036,-0.8789672914121168,0.23405087041590106,-0.7335397557616592
0.76,-61.904848758794145,-61.00965026572582,-106.30503737859891,-71.90484875879413,-61.00965026572582,-121.50502194467785,170.73846473835206,-0.8657749115460842,0.23154745730501775,-0.7209376612733711
0.77,-61.99305674552685,-60.8762006799428,-106.2249324695003,-71.99305674552684,-60.87620067994281,-121.62491683250133,170.79676690543894,-0.8527721189258001,0.22961451035520972,-0.7086771876534136
0.78,-62.08605910232703,-60.757494314030055,-106.1397521864365,-72.08605910232701,-60.757494314030055,-121.73973634635962,170.86355334856634,-0.8400405028479736,0.2279241858975034,-0.6964425702599423
