t,roll_deg,pitch_deg,yaw_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
0.0,10.0,0.0,0.0,0.008583926154489606,0.05493901548317135,0.34680312253044543,0.219852564531194,-1.8045714441780203,-9.34551474838968,37.700633957403014,1.4372944798426173,45.83851707337285
0.01,9.999999999999996,0.0,0.19999979692209127,0.008233084293846643,0.05518419231424207,0.34715731164585517,0.2040068628964892,-1.7874304906073155,-9.34198991472189,37.58278011950988,1.3683317045693242,45.86107687998242
0.02,9.999999999999998,0.0,0.39999959384418265,0.00880427841112109,0.05522087968408266,0.3475901746722941,0.202113980616414,-1.8073133848376293,-9.351523067780454,37.54814967630188,1.068228231994776,45.87491805451655
0.03,10.000000000000002,6.212020862233431e-18,0.5999993907662741,0.009177546038011353,0.05559996784330866,0.3471633449153367,0.21581625763568357,-1.7898307269825355,-9.33521603239143,37.58294238731276,1.371758697788627,45.88990411157437
0.04,10.0,-1.2424041724466862e-17,0.7999991876883653,0.008771403553240143,0.054585059001061614,0.3481320943232287,0.22138803871345822,-1.8001995929464827,-9.355600886657554,37.385674990461965,1.1386578664761637,45.71762469457163
0.05,10.000000000000002,-2.4848083448933725e-17,0.9999989846104569,0.008888837150174488,0.055354842385540115,0.34733160660315365,0.20855907282094727,-1.780470421183291,-9.334649497621925,37.517917877655734,0.8953819000596004,45.84705326081952
0.06,10.0,0.0,1.199998781532548,0.008770271874666686,0.054822987261864305,0.3468752650393388,0.20534128318776249,-1.800805312445981,-9.34012963375313,37.51547025703471,0.7425007320543108,45.956221919489224
0.07,10.000000000000002,-2.4848083448933725e-17,1.3999985784546398,0.008226129953944892,0.05470981391923656,0.34695784279599917,0.21791384796593563,-1.7939306650793025,-9.347211838634253,37.430385866611914,0.9069800379303911,45.96992433734521
0.08,9.999999999999998,0.0,1.5999983753767306,0.008382015105736457,0.054332653411771,0.34752312674689423,0.22169612089606344,-1.7924676594791435,-9.351063817389809,37.36623539034419,0.3990442783750603,46.18128986476466
0.09,10.0,0.0,1.7999981722988225,0.008583492296180792,0.05512787902104919,0.3468276407668309,0.2153395755086877,-1.8048837193165872,-9.344857403111462,37.55694205270572,0.42792845592687634,46.0851436236275
0.1,9.999999999999998,0.0,1.9999979692209133,0.009000453854047245,0.05416253911049939,0.34725080164675953,0.21455299872031527,-1.7943435256257196,-9.336404376300246,37.50469192054899,0.3889252027528494,46.25736443693214
0.11,10.0,0.0,2.1999977661430044,0.008825297329662246,0.05537272737282049,0.3472364388654698,0.23406599663159466,-1.7996782311792638,-9.3514992071964,37.4175228013375,0.3913850243106839,46.02329265919309
0.12,10.000000000000004,0.0,2.3999975630650963,0.00946218728958454,0.05539363505139845,0.34803930958989293,0.2085009111966644,-1.804248981804324,-9.336144743266585,37.22047606606569,0.27165980757452823,45.893384045520534
0.13,10.000000000000002,-4.969616689786745e-17,2.5999973599871873,0.008986334647185904,0.055187222000677036,0.34803045909094926,0.20581743817542392,-1.7988358965775488,-9.337051374258888,37.37365292187655,0.10181447848091371,46.03494102144417
0.14,10.000000000000004,0.0,2.799997156909279,0.008387404794210927,0.05443090721620423,0.34802146458249084,0.2085837537622901,-1.8045145105360305,-9.331369807987935,37.46599744770815,0.21953621845696766,46.046359768613534
0.15,10.0,0.0,2.9999969538313693,0.008897036488851848,0.05494220270309732,0.34786451209952496,0.2016794847397687,-1.798811187155907,-9.3509747169717,37.375379010510976,-0.014411632325613676,46.152208924202036
0.16,10.000000000000002,0.0,3.1999967507534617,0.008459471671076151,0.05461923652323381,0.3476963357298616,0.21616147941019484,-1.8029381028788052,-9.346560989226388,37.45894129931756,-0.3257892393678631,46.04769071818331
0.17,10.000000000000004,0.0,3.399996547675554,0.008292739220431099,0.055023679112562666,0.346782243588113,0.21326898435859276,-1.8085018608939742,-9.352938256998451,37.041352060069144,-0.19709788904057174,46.133940013830546
0.18,10.0,-4.969616689786745e-17,3.599996344597644,0.008106734194454337,0.05493767786579102,0.3475893657451779,0.21585109485460607,-1.794939816937748,-9.338836170428054,37.33720816855062,-0.408516202425643,46.2370358697221
0.19,10.000000000000004,-4.969616689786745e-17,3.799996141519737,0.008070197919716157,0.0549149158884599,0.3470687736177827,0.22244045229479964,-1.8253571863320133,-9.343649640156649,37.18008465192098,-0.5287239622687107,46.3132051204858
0.2,10.000000000000002,-9.93923337957349e-17,3.999995938441829,0.009070258462749054,0.054830666817294954,0.3470733376694068,0.21613115575657044,-1.798942894575089,-9.3589418124244,37.21905753334994,-0.3258525130432943,46.187019358526705
0.21,10.0,0.0,4.199995735363919,0.008497729550702538,0.05518393606161775,0.34772625206149854,0.2110750575163672,-1.8077365680805022,-9.338966093036419,37.189678495947526,-0.7687630341261447,46.147766736275706
0.22,10.0,-4.969616689786745e-17,4.3999955322860105,0.008310060287501328,0.05438992005934789,0.3469674256674238,0.20150422465709805,-1.805813183787807,-9.319139505964584,37.379406457785215,-0.8657580050856073,46.34364019782715
0.23,10.0,-9.93923337957349e-17,4.5999953292081015,0.008667872591054223,0.05483497315553312,0.34667120068305823,0.21003132886693762,-1.8088404968923326,-9.341978439214264,37.26330914468592,-0.7775006846183034,46.281042015833805
0.24,9.999999999999996,-4.969616689786745e-17,4.7999951261301925,0.008958401243454383,0.05410339974997554,0.348424992423117,0.19824878466565543,-1.8008470057029196,-9.328047350335796,36.988081711978346,-0.8837137451528679,46.23042753767895
0.25,9.999999999999998,0.0,4.999994923052284,0.008693160381007746,0.054496396503635566,0.34757535147862667,0.20479659493365918,-1.7996427782553577,-9.354308564329267,36.95499837144885,-0.9779766362233353,46.421500111962125
0.26,9.999999999999996,-9.93923337957349e-17,5.1999947199743755,0.008478170508288323,0.05464888023204801,0.34739502991350196,0.2112996204304736,-1.814241566220134,-9.338296024655303,37.041515711270506,-0.9718569945880892,46.3992643014292
0.27,9.999999999999998,-9.93923337957349e-17,5.3999945168964665,0.009413236855636206,0.054632241467243804,0.3477437416614893,0.21009043198045807,-1.78359306954587,-9.367687635588148,37.04643822572753,-1.0780587315183887,46.35784852305133
0.28,10.000000000000002,-1.987846675914698e-16,5.599994313818558,0.009778236633269615,0.055320910727230166,0.34758469547212206,0.21700570570979044,-1.8019689309010358,-9.359306981910484,37.14563810215271,-1.249942513927706,46.33025940989407
0.29,10.0,-1.987846675914698e-16,5.79999411074065,0.00844558551659992,0.05528161222937282,0.347568739076817,0.21732710115239923,-1.806920394070403,-9.345710906854585,36.95174485684829,-1.3457531068495883,46.36641081376099
0.3,9.999999999999998,-9.93923337957349e-17,5.99999390766274,0.008531047996212734,0.05522104481469538,0.3477166839723738,0.2200912323972405,-1.7990277153147975,-9.336342491173273,36.89891704961186,-1.5226143932763636,46.62767987346844
0.31,10.0,-1.987846675914698e-16,6.199993704584833,0.008211154352770282,0.055399219327297536,0.34710260502656626,0.21346363850733935,-1.7912245159004447,-9.343052534847066,36.93935085133676,-1.6021345411618568,46.398890304580476
0.32,9.999999999999998,-9.93923337957349e-17,6.399993501506923,0.009652848208222863,0.05494666268399798,0.34817889434269683,0.21749873233398265,-1.8004559073904618,-9.351917197589522,36.85151659924679,-1.6394708020088953,46.53926903523878
0.33,9.999999999999998,-1.987846675914698e-16,6.599993298429014,0.008818510979116206,0.05447944257596526,0.347922126558534,0.2168857391431364,-1.7921250893679204,-9.358027746436166,36.83446606617405,-1.73561204138834,46.675574110401065
0.34,9.999999999999998,-9.93923337957349e-17,6.799993095351108,0.00828928470055659,0.05502302723759746,0.34798984677897965,0.20389728025113996,-1.8085428571724416,-9.347842951071645,36.82330063912453,-1.8905547286479558,46.688827448990416
0.35000000000000003,9.999999999999998,-9.93923337957349e-17,6.999992892273196,0.00879575391795707,0.05450411600693367,0.34739790725076103,0.21614163786279686,-1.7900116564878867,-9.355211784337271,36.72979959699406,-2.091912483063809,46.582377683690815
0.36,9.999999999999995,-1.987846675914698e-16,7.199992689195288,0.008514477394696487,0.055353258509782996,0.34708077314872476,0.2045718984084112,-1.801494141960514,-9.347605958667254,36.84788157484344,-2.040173012388258,46.57960628887249
0.37,9.999999999999998,-1.987846675914698e-16,7.399992486117379,0.008964084921383342,0.055081950397273226,0.3475827040241328,0.19796677693741066,-1.8171961661433937,-9.345465534187891,36.75046293073486,-2.082234416159184,46.522980298776616
